                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.24384,                0.50323,                      1,                0.50998,               0.070062,              0.0033265,              0.0033265
                      1,                0.17856,                0.62675,                      1,                 0.4518,               0.039996,              0.0065939,              0.0065939
                      2,                0.17087,                0.57578,                      1,                0.47936,              0.0098639,              0.0097953,              0.0097953
                      3,                0.15204,                0.62475,                      1,                0.44649,               0.009703,               0.009703,               0.009703
                      4,                0.13515,                0.71422,                      1,                0.42411,               0.009703,               0.009703,               0.009703
                      5,                0.12354,                0.76029,                      1,                 0.4053,               0.009604,               0.009604,               0.009604
                      6,                0.11062,                 0.7692,                      1,                0.39832,               0.009505,               0.009505,               0.009505
                      7,                0.10027,                0.74338,                      1,                0.40534,               0.009406,               0.009406,               0.009406
                      8,                0.08713,                0.82684,                      1,                0.37323,               0.009307,               0.009307,               0.009307
                      9,                0.08033,                0.83908,                      1,                0.36423,               0.009208,               0.009208,               0.009208
                     10,                0.07364,                0.84576,                      1,                0.36132,               0.009109,               0.009109,               0.009109
                     11,                0.06057,                0.85533,                      1,                0.35064,                0.00901,                0.00901,                0.00901
                     12,                0.05243,                0.86223,                      1,                0.34709,               0.008911,               0.008911,               0.008911
                     13,                0.04674,                0.87291,                      1,                0.34094,               0.008812,               0.008812,               0.008812
                     14,                0.03882,                0.88849,                      1,                0.33334,               0.008713,               0.008713,               0.008713
                     15,                0.03636,                0.85778,                      1,                0.34714,               0.008614,               0.008614,               0.008614
                     16,                 0.0322,                0.88872,                      1,                0.33045,               0.008515,               0.008515,               0.008515
                     17,                0.02996,                0.89094,                      1,                0.32972,               0.008416,               0.008416,               0.008416
                     18,                0.02279,                0.88449,                      1,                0.33431,               0.008317,               0.008317,               0.008317
                     19,                 0.0233,                 0.8945,                      1,                0.32818,               0.008218,               0.008218,               0.008218
                     20,                0.02127,                0.89829,                      1,                0.32579,               0.008119,               0.008119,               0.008119
                     21,                 0.0164,                0.89539,                      1,                0.32553,                0.00802,                0.00802,                0.00802
                     22,                0.01837,                0.89895,                      1,                 0.3247,               0.007921,               0.007921,               0.007921
                     23,                0.01676,                0.89673,                      1,                0.32669,               0.007822,               0.007822,               0.007822
                     24,                0.01899,                 0.9014,                      1,                0.32356,               0.007723,               0.007723,               0.007723
                     25,                0.01294,                0.90229,                      1,                0.32287,               0.007624,               0.007624,               0.007624
                     26,                0.01164,                0.89873,                      1,                0.32427,               0.007525,               0.007525,               0.007525
                     27,                0.01099,                0.90852,                      1,                0.31896,               0.007426,               0.007426,               0.007426
                     28,                0.01039,                0.91209,                      1,                0.31835,               0.007327,               0.007327,               0.007327
                     29,                0.00885,                0.91097,                      1,                0.31847,               0.007228,               0.007228,               0.007228
                     30,                0.00897,                0.90385,                      1,                0.32247,               0.007129,               0.007129,               0.007129
                     31,                0.00794,                0.90763,                      1,                0.32065,                0.00703,                0.00703,                0.00703
                     32,                0.00845,                0.90519,                      1,                0.32039,               0.006931,               0.006931,               0.006931
                     33,                0.00433,                0.90563,                      1,                0.32054,               0.006832,               0.006832,               0.006832
                     34,                0.00461,                0.91387,                      1,                0.31577,               0.006733,               0.006733,               0.006733
                     35,                0.00626,                0.91275,                      1,                0.31643,               0.006634,               0.006634,               0.006634
                     36,                0.00513,                 0.9112,                      1,                0.31748,               0.006535,               0.006535,               0.006535
                     37,                0.00373,                0.90986,                      1,                0.31669,               0.006436,               0.006436,               0.006436
                     38,                0.00477,                0.90941,                      1,                0.31829,               0.006337,               0.006337,               0.006337
                     39,                0.00414,                0.90719,                      1,                0.31821,               0.006238,               0.006238,               0.006238
                     40,                 0.0026,                0.91097,                      1,                0.31833,               0.006139,               0.006139,               0.006139
                     41,                0.00245,                0.90763,                      1,                 0.3196,                0.00604,                0.00604,                0.00604
                     42,                0.00413,                0.90919,                      1,                 0.3191,               0.005941,               0.005941,               0.005941
                     43,                0.00229,                0.90719,                      1,                0.31966,               0.005842,               0.005842,               0.005842
                     44,                0.00343,                0.90875,                      1,                0.31831,               0.005743,               0.005743,               0.005743
                     45,                0.00236,                0.91609,                      1,                0.31587,               0.005644,               0.005644,               0.005644
                     46,                0.00249,                0.90608,                      1,                0.31995,               0.005545,               0.005545,               0.005545
                     47,                0.00395,                0.90541,                      1,                0.32036,               0.005446,               0.005446,               0.005446
                     48,                0.00169,                0.91209,                      1,                0.31654,               0.005347,               0.005347,               0.005347
                     49,                0.00158,                0.91498,                      1,                0.31578,               0.005248,               0.005248,               0.005248
                     50,                0.00145,                0.91364,                      1,                0.31605,               0.005149,               0.005149,               0.005149
                     51,                0.00195,                0.91053,                      1,                0.31788,                0.00505,                0.00505,                0.00505
                     52,                0.00075,                0.91387,                      1,                 0.3158,               0.004951,               0.004951,               0.004951
                     53,                 0.0013,                0.91609,                      1,                0.31467,               0.004852,               0.004852,               0.004852
