                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85199,                 2.2324,                 1.1174,                0.59722,                0.65958,                0.62656,                0.49238,                0.66005,                 1.4953,                 1.0001,               0.070154,              0.0033162,              0.0033162
                      1,                0.80602,                 1.3268,                 1.0869,                0.65927,                0.63436,                0.69731,                0.52883,                0.78252,                 1.3485,                 1.1026,               0.040088,              0.0065837,              0.0065837
                      2,                0.91129,                 1.3025,                 1.1437,                0.57593,                0.50648,                0.52623,                0.37051,                 1.0346,                 1.6559,                 1.3298,              0.0099562,              0.0097852,              0.0097852
                      3,                 0.8928,                 1.1689,                 1.1388,                0.76853,                0.70037,                0.79517,                0.61364,                0.75993,                 1.0387,                 1.0939,               0.009703,               0.009703,               0.009703
                      4,                 0.8536,                 1.0814,                 1.1169,                0.75499,                0.71138,                0.79859,                0.63607,                0.66433,                 1.0558,                  1.034,               0.009703,               0.009703,               0.009703
                      5,                0.82146,                 1.0016,                  1.098,                0.69417,                0.61999,                0.67911,                0.51167,                0.88605,                 1.3354,                 1.2383,               0.009604,               0.009604,               0.009604
                      6,                0.80004,                0.96488,                 1.0936,                0.80064,                0.75604,                0.83026,                0.67511,                0.64696,                0.90815,                 1.0255,               0.009505,               0.009505,               0.009505
                      7,                0.78436,                0.92805,                 1.0843,                0.84307,                0.77448,                0.86436,                0.70105,                0.63055,                0.79221,                 1.0187,               0.009406,               0.009406,               0.009406
                      8,                0.76623,                0.90399,                 1.0758,                 0.8279,                0.78749,                0.87011,                0.72018,                0.59186,                0.75722,                0.98989,               0.009307,               0.009307,               0.009307
                      9,                0.75036,                0.87794,                 1.0698,                0.85321,                0.80934,                0.89287,                0.74906,                0.56318,                0.67288,                0.97716,               0.009208,               0.009208,               0.009208
                     10,                0.73856,                0.85368,                 1.0678,                0.82527,                0.78811,                0.86754,                0.72726,                0.56653,                0.76656,                0.97221,               0.009109,               0.009109,               0.009109
                     11,                0.72948,                0.83952,                 1.0601,                0.85266,                0.82854,                0.90092,                 0.7695,                0.53022,                0.64207,                0.95521,                0.00901,                0.00901,                0.00901
                     12,                0.71337,                0.81046,                 1.0471,                0.86147,                 0.8157,                0.89653,                0.76217,                 0.5495,                0.64658,                0.96395,               0.008911,               0.008911,               0.008911
                     13,                0.70493,                 0.7888,                 1.0443,                0.86929,                0.82944,                0.90855,                 0.7804,                0.51418,                0.59066,                0.94573,               0.008812,               0.008812,               0.008812
                     14,                0.70088,                0.79255,                 1.0446,                0.87184,                0.83409,                0.91305,                0.78454,                0.51339,                0.59657,                0.94649,               0.008713,               0.008713,               0.008713
                     15,                0.69113,                0.77984,                 1.0419,                0.86858,                0.82802,                0.90582,                0.78023,                0.50962,                0.62702,                0.95043,               0.008614,               0.008614,               0.008614
                     16,                0.68697,                0.76549,                 1.0359,                0.85144,                 0.8103,                0.89076,                0.75845,                0.53027,                0.66327,                0.95792,               0.008515,               0.008515,               0.008515
                     17,                0.67892,                 0.7505,                 1.0305,                0.86872,                0.80329,                0.89205,                0.76523,                0.53022,                0.66119,                0.97424,               0.008416,               0.008416,               0.008416
                     18,                0.67324,                0.74295,                  1.028,                  0.869,                0.83122,                 0.9126,                0.79487,                0.48662,                0.57784,                0.93497,               0.008317,               0.008317,               0.008317
